,Time_Window,model,Suspected_Excluded,AUC_CI.Lower.95,AUC_CI.Upper.95,AUC_Mean,AUC_Obs,AUC_Std,PART_AUC_00.1_CI.Lower.95,PART_AUC_00.1_CI.Upper.95,PART_AUC_00.1_Mean,PART_AUC_00.1_Obs,PART_AUC_00.1_Std,NPOS_CI.Lower.95,NPOS_CI.Upper.95,NPOS_Mean,NPOS_Obs,NPOS_Std,NNEG_CI.Lower.95,NNEG_CI.Upper.95,NNEG_Mean,NNEG_Obs,NNEG_Std,SENS@PR_03_CI.Lower.95,SENS@PR_03_CI.Upper.95,SENS@PR_03_Mean,SENS@PR_03_Obs,SENS@PR_03_Std,SENS@PR_05_CI.Lower.95,SENS@PR_05_CI.Upper.95,SENS@PR_05_Mean,SENS@PR_05_Obs,SENS@PR_05_Std,SENS@PR_10_CI.Lower.95,SENS@PR_10_CI.Upper.95,SENS@PR_10_Mean,SENS@PR_10_Obs,SENS@PR_10_Std,SPEC@PR_03_CI.Lower.95,SPEC@PR_03_CI.Upper.95,SPEC@PR_03_Mean,SPEC@PR_03_Obs,SPEC@PR_03_Std,SPEC@PR_05_CI.Lower.95,SPEC@PR_05_CI.Upper.95,SPEC@PR_05_Mean,SPEC@PR_05_Obs,SPEC@PR_05_Std,SPEC@PR_10_CI.Lower.95,SPEC@PR_10_CI.Upper.95,SPEC@PR_10_Mean,SPEC@PR_10_Obs,SPEC@PR_10_Std,OR@PR_03_CI.Lower.95,OR@PR_03_CI.Upper.95,OR@PR_03_Mean,OR@PR_03_Obs,OR@PR_03_Std,OR@PR_05_CI.Lower.95,OR@PR_05_CI.Upper.95,OR@PR_05_Mean,OR@PR_05_Obs,OR@PR_05_Std,OR@PR_10_CI.Lower.95,OR@PR_10_CI.Upper.95,OR@PR_10_Mean,OR@PR_10_Obs,OR@PR_10_Std,PPV@PR_03_CI.Lower.95,PPV@PR_03_CI.Upper.95,PPV@PR_03_Mean,PPV@PR_03_Obs,PPV@PR_03_Std,PPV@PR_05_CI.Lower.95,PPV@PR_05_CI.Upper.95,PPV@PR_05_Mean,PPV@PR_05_Obs,PPV@PR_05_Std,PPV@PR_10_CI.Lower.95,PPV@PR_10_CI.Upper.95,PPV@PR_10_Mean,PPV@PR_10_Obs,PPV@PR_10_Std
0,360.000-720.000,model_10.base,False,0.788,0.802,0.795,0.794,0.004,0.251,0.274,0.262,0.26,0.006,3680.0,3919.0,3797.41,3797.0,61.544,1088240.0,1093000.0,1090610.0,1090620.0,1230.89,17.939,20.499,19.196,18.989,0.662,26.342,29.252,27.826,27.89,0.766,41.977,45.01,43.42,43.132,0.82,97.052,97.061,97.056,97.056,0.002,95.074,95.085,95.08,95.08,0.003,90.11,90.123,90.116,90.115,0.003,7.198,8.515,7.836,7.726,0.341,6.902,7.996,7.453,7.474,0.288,6.593,7.467,7.001,6.915,0.236,2.057,2.379,2.22,2.196,0.083,1.809,2.05,1.931,1.935,0.062,1.437,1.578,1.507,1.496,0.037
1,360.000-720.000,model_10.base,True,0.785,0.801,0.793,0.792,0.004,0.245,0.271,0.258,0.256,0.007,3456.0,3679.0,3567.23,3567.0,58.557,1065880.0,1070400.0,1068100.0,1068100.0,1171.14,17.364,20.085,18.68,18.535,0.695,25.958,29.051,27.429,27.502,0.811,41.227,44.5,42.875,42.625,0.899,97.048,97.057,97.052,97.052,0.003,95.07,95.081,95.075,95.075,0.003,90.103,90.117,90.11,90.109,0.004,6.906,8.286,7.566,7.49,0.353,6.762,7.911,7.3,7.323,0.302,6.388,7.308,6.842,6.768,0.254,1.913,2.246,2.073,2.056,0.086,1.712,1.956,1.826,1.831,0.064,1.356,1.504,1.427,1.419,0.039
2,360.000-720.000,model_49.generic,False,0.796,0.809,0.802,0.801,0.003,0.263,0.29,0.276,0.274,0.006,3680.0,3922.0,3796.8,3797.0,60.272,1088160.0,1093040.0,1090620.0,1090620.0,1205.43,19.187,22.002,20.484,20.306,0.726,27.568,30.82,29.138,29.049,0.809,43.404,46.872,45.112,45.035,0.857,97.056,97.067,97.061,97.06,0.003,95.078,95.09,95.084,95.084,0.003,90.116,90.13,90.122,90.122,0.004,7.828,9.334,8.511,8.412,0.388,7.354,8.628,7.957,7.919,0.317,6.991,8.054,7.503,7.475,0.262,2.203,2.567,2.369,2.348,0.092,1.901,2.151,2.022,2.016,0.066,1.494,1.648,1.565,1.562,0.039
3,360.000-720.000,model_49.generic,True,0.79,0.805,0.798,0.798,0.004,0.252,0.278,0.265,0.265,0.006,3457.0,3685.0,3564.58,3567.0,57.123,1065820.0,1070380.0,1068150.0,1068100.0,1142.46,17.884,20.811,19.346,19.568,0.725,26.269,29.428,27.947,27.775,0.821,42.365,45.992,44.151,44.155,0.921,97.05,97.06,97.054,97.055,0.003,95.071,95.082,95.077,95.076,0.003,90.107,90.12,90.114,90.114,0.004,7.165,8.672,7.907,8.019,0.374,6.876,8.06,7.494,7.425,0.309,6.696,7.768,7.211,7.207,0.272,1.978,2.318,2.145,2.171,0.085,1.736,1.969,1.859,1.849,0.062,1.389,1.539,1.468,1.47,0.039
4,360.000-720.000,plco,False,0.779,0.795,0.786,0.786,0.004,0.235,0.26,0.247,0.247,0.006,3613.0,3858.0,3730.34,3730.0,61.045,1067160.0,1072100.0,1069690.0,1069700.0,1220.9,16.631,19.216,17.847,17.748,0.67,25.146,28.208,26.588,26.759,0.769,39.112,42.702,40.634,40.65,0.922,97.047,97.057,97.052,97.051,0.003,95.069,95.082,95.075,95.076,0.003,90.1,90.115,90.107,90.107,0.004,6.557,7.845,7.154,7.102,0.333,6.477,7.592,6.995,7.054,0.28,5.847,6.793,6.238,6.238,0.242,1.91,2.248,2.067,2.056,0.086,1.719,1.983,1.848,1.86,0.063,1.341,1.497,1.412,1.413,0.041
5,360.000-720.000,plco,True,0.778,0.793,0.786,0.786,0.004,0.234,0.259,0.246,0.249,0.006,3388.0,3613.0,3498.76,3500.0,58.775,1045320.0,1049840.0,1047500.0,1047480.0,1175.5,16.401,19.014,17.72,18.077,0.694,24.982,28.089,26.504,26.657,0.8,39.044,42.508,40.808,40.811,0.872,97.044,97.054,97.049,97.05,0.002,95.066,95.078,95.072,95.072,0.003,90.096,90.11,90.103,90.103,0.003,6.445,7.731,7.086,7.26,0.343,6.416,7.544,6.96,7.012,0.29,5.829,6.737,6.28,6.277,0.229,1.805,2.124,1.966,2.007,0.084,1.64,1.887,1.765,1.775,0.063,1.282,1.432,1.359,1.359,0.038
6,90.000-360.000,model_10.base,False,0.797,0.811,0.804,0.804,0.003,0.265,0.289,0.276,0.277,0.006,3894.0,4141.0,4014.59,4019.0,61.89,1214540.0,1219600.0,1217050.0,1216960.0,1237.79,19.285,22.174,20.62,20.774,0.76,27.833,30.816,29.239,28.888,0.796,43.664,47.059,45.291,45.482,0.856,97.053,97.064,97.058,97.059,0.003,95.075,95.086,95.08,95.079,0.003,90.11,90.123,90.116,90.117,0.003,7.87,9.423,8.574,8.653,0.406,7.445,8.622,7.989,7.849,0.313,7.063,8.111,7.552,7.607,0.264,2.095,2.438,2.26,2.279,0.09,1.811,2.045,1.923,1.902,0.06,1.419,1.567,1.489,1.497,0.037
7,90.000-360.000,model_10.base,True,0.794,0.808,0.801,0.801,0.004,0.257,0.284,0.27,0.269,0.007,3531.0,3741.0,3638.14,3637.0,54.111,1182120.0,1186340.0,1184140.0,1184160.0,1082.23,18.598,21.569,20.017,20.117,0.741,26.83,30.199,28.494,28.563,0.825,42.964,46.421,44.578,44.556,0.891,97.047,97.057,97.052,97.053,0.002,95.066,95.078,95.072,95.072,0.003,90.1,90.113,90.106,90.106,0.003,7.513,9.068,8.244,8.292,0.389,7.067,8.362,7.692,7.714,0.316,6.857,7.894,7.33,7.319,0.267,1.873,2.211,2.044,2.053,0.084,1.628,1.872,1.746,1.749,0.059,1.3,1.437,1.365,1.364,0.035
8,90.000-360.000,model_49.generic,False,0.81,0.824,0.817,0.817,0.003,0.292,0.318,0.305,0.304,0.007,3907.0,4157.0,4024.45,4019.0,64.543,1214380.0,1219340.0,1216850.0,1216960.0,1290.86,21.987,25.025,23.43,23.424,0.757,30.765,34.043,32.372,32.62,0.827,46.505,49.901,48.237,47.972,0.843,97.062,97.073,97.068,97.068,0.003,95.085,95.097,95.09,95.091,0.003,90.12,90.134,90.126,90.125,0.003,9.315,11.067,10.133,10.125,0.437,8.594,10.015,9.276,9.378,0.356,7.93,9.098,8.511,8.416,0.29,2.401,2.755,2.574,2.57,0.092,2.017,2.273,2.134,2.147,0.064,1.52,1.668,1.59,1.579,0.038
9,90.000-360.000,model_49.generic,True,0.802,0.817,0.81,0.81,0.004,0.274,0.301,0.287,0.287,0.007,3529.0,3761.0,3639.12,3637.0,58.338,1181720.0,1186420.0,1184120.0,1184160.0,1166.77,19.994,22.95,21.418,21.281,0.748,28.639,31.926,30.299,30.079,0.859,44.949,48.513,46.619,46.894,0.889,97.052,97.062,97.057,97.056,0.003,95.072,95.084,95.078,95.077,0.003,90.106,90.119,90.112,90.113,0.003,8.226,9.845,8.992,8.913,0.407,7.745,9.069,8.401,8.308,0.346,7.436,8.594,7.964,8.048,0.287,2.025,2.365,2.188,2.172,0.086,1.743,1.982,1.857,1.842,0.062,1.362,1.506,1.428,1.436,0.036
